depression_scaled,depression_mean,age_mean,% participants
0.0,0.0,0.38231,0.00424
0.007936507936507936,0.00794,0.36111,0.00293
0.015873015873015872,0.01587,0.31333,0.00293
0.023809523809523808,0.02381,0.38286,0.00456
0.031746031746031744,0.03175,0.355,0.00326
0.03968253968253968,0.03968,0.3112,0.00815
0.047619047619047616,0.04762,0.37786,0.00456
0.05555555555555555,0.05556,0.24786,0.00456
0.06349206349206349,0.06349,0.27227,0.00717
0.07142857142857142,0.07143,0.30032,0.0101
0.07936507936507936,0.07937,0.30448,0.00945
0.0873015873015873,0.0873,0.34417,0.00782
0.09523809523809523,0.09524,0.31318,0.00717
0.10317460317460317,0.10317,0.32,0.00978
0.1111111111111111,0.11111,0.30273,0.01076
0.11904761904761904,0.11905,0.30897,0.01271
0.12698412698412698,0.12698,0.29692,0.00847
0.1349206349206349,0.13492,0.3625,0.01043
0.14285714285714285,0.14286,0.30969,0.01043
0.15079365079365079,0.15079,0.298,0.00978
0.15873015873015872,0.15873,0.27966,0.00945
0.16666666666666666,0.16667,0.27909,0.01076
0.1746031746031746,0.1746,0.32281,0.01043
0.18253968253968253,0.18254,0.30302,0.01402
0.19047619047619047,0.19048,0.2624,0.00815
0.1984126984126984,0.19841,0.25452,0.0101
0.20634920634920634,0.20635,0.3081,0.00684
0.21428571428571427,0.21429,0.32031,0.01043
0.2222222222222222,0.22222,0.31069,0.00945
0.23015873015873015,0.23016,0.34174,0.0075
0.23809523809523808,0.2381,0.30162,0.01206
0.24603174603174602,0.24603,0.27121,0.01076
0.25396825396825395,0.25397,0.27417,0.00782
0.2619047619047619,0.2619,0.25795,0.01271
0.2698412698412698,0.26984,0.29361,0.01173
0.2777777777777778,0.27778,0.29364,0.01076
0.2857142857142857,0.28571,0.25595,0.01206
0.29365079365079366,0.29365,0.27667,0.0088
0.30158730158730157,0.30159,0.29282,0.01271
0.30952380952380953,0.30952,0.30457,0.01499
0.31746031746031744,0.31746,0.26405,0.01369
0.3253968253968254,0.3254,0.26914,0.01141
0.3333333333333333,0.33333,0.27458,0.01565
0.3412698412698413,0.34127,0.26167,0.01173
0.3492063492063492,0.34921,0.24097,0.0101
0.35714285714285715,0.35714,0.28415,0.01336
0.36507936507936506,0.36508,0.28455,0.01076
0.373015873015873,0.37302,0.25771,0.01141
0.38095238095238093,0.38095,0.25688,0.01043
0.3888888888888889,0.38889,0.3103,0.01076
0.3968253968253968,0.39683,0.23767,0.00978
0.40476190476190477,0.40476,0.26872,0.01271
0.4126984126984127,0.4127,0.29432,0.01206
0.42063492063492064,0.42063,0.30156,0.01043
0.42857142857142855,0.42857,0.23759,0.00945
0.4365079365079365,0.43651,0.2825,0.00913
0.4444444444444444,0.44444,0.25583,0.01173
0.4523809523809524,0.45238,0.28968,0.0101
0.4603174603174603,0.46032,0.25949,0.01271
0.46825396825396826,0.46825,0.29206,0.01108
0.47619047619047616,0.47619,0.25289,0.01239
0.48412698412698413,0.48413,0.27536,0.00913
0.49206349206349204,0.49206,0.27278,0.01173
0.5,0.5,0.23639,0.01173
0.5079365079365079,0.50794,0.26889,0.0088
0.5158730158730159,0.51587,0.254,0.01304
0.5238095238095238,0.52381,0.246,0.01141
0.5317460317460317,0.53175,0.2471,0.0101
0.5396825396825397,0.53968,0.24241,0.00945
0.5476190476190477,0.54762,0.22231,0.00847
0.5555555555555556,0.55556,0.28333,0.00684
0.5634920634920635,0.56349,0.26333,0.01076
0.5714285714285714,0.57143,0.23963,0.0088
0.5793650793650794,0.57937,0.295,0.00847
0.5873015873015873,0.5873,0.25812,0.01043
0.5952380952380952,0.59524,0.23414,0.00945
0.6031746031746031,0.60317,0.23806,0.0101
0.6111111111111112,0.61111,0.27303,0.01076
0.6190476190476191,0.61905,0.23552,0.00945
0.626984126984127,0.62698,0.26594,0.01043
0.6349206349206349,0.63492,0.244,0.00652
0.6428571428571429,0.64286,0.246,0.00815
0.6507936507936508,0.65079,0.26256,0.01271
0.6587301587301587,0.65873,0.23444,0.0088
0.6666666666666666,0.66667,0.25458,0.00782
0.6746031746031746,0.6746,0.25231,0.00847
0.6825396825396826,0.68254,0.2165,0.00652
0.6904761904761905,0.69048,0.25,0.00978
0.6984126984126984,0.69841,0.23429,0.00684
0.7063492063492064,0.70635,0.2684,0.00815
0.7142857142857143,0.71429,0.24357,0.00456
0.7222222222222222,0.72222,0.21174,0.0075
0.7301587301587301,0.73016,0.23625,0.00782
0.7380952380952381,0.7381,0.2576,0.00815
0.746031746031746,0.74603,0.24056,0.00587
0.753968253968254,0.75397,0.24615,0.00424
0.7619047619047619,0.7619,0.2395,0.00652
0.7698412698412699,0.76984,0.24364,0.00717
0.7777777777777778,0.77778,0.28952,0.00684
0.7857142857142857,0.78571,0.27,0.00261
0.7936507936507936,0.79365,0.28273,0.00359
0.8015873015873016,0.80159,0.25929,0.00456
0.8095238095238095,0.80952,0.231,0.00326
0.8174603174603174,0.81746,0.20583,0.00391
0.8253968253968254,0.8254,0.225,0.00456
0.8333333333333334,0.83333,0.21333,0.00293
0.8412698412698413,0.84127,0.23545,0.00359
0.8492063492063492,0.84921,0.22182,0.00359
0.8571428571428571,0.85714,0.22583,0.00391
0.8650793650793651,0.86508,0.4225,0.0013
0.873015873015873,0.87302,0.195,0.0013
0.8809523809523809,0.88095,0.2775,0.0013
0.8888888888888888,0.88889,0.22667,0.00098
0.8968253968253969,0.89683,0.209,0.00326
0.9047619047619048,0.90476,0.25143,0.00228
0.9126984126984127,0.9127,0.22556,0.00293
0.9206349206349206,0.92063,0.21,0.00163
0.9285714285714286,0.92857,0.28286,0.00228
0.9365079365079365,0.93651,0.27333,0.00098
0.9444444444444444,0.94444,0.1975,0.0013
0.9523809523809523,0.95238,0.2525,0.0013
0.9603174603174603,0.96032,0.2375,0.0013
0.9682539682539683,0.96825,0.21333,0.00098
0.9761904761904762,0.97619,0.21667,0.00196
0.9841269841269841,0.98413,0.2375,0.0013
0.9920634920634921,0.99206,0.22,0.00098
1.0,1.0,0.24625,0.00261
